id,word
0,পরিবার
1,সম্পর্ক
2,বাবা
3,মা
4,ভাই
5,বোন
6,স্বামী
7,স্ত্রী
8,চাচা
9,মামা
10,খালা
11,ফুফু
12,বন্ধু
13,কালো
14,সাদা
15,লাল
16,নীল
17,হলুদ
18,সবুজ
19,খাদ্য
20,ফলমূল
21,ভাত
22,মাছ
23,মাংস
24,মুরগী
25,চা
26,কফি
27,রুটি
28,সবজি
29,ডাল
30,মিষ্টি
31,পানি
32,দুধ
33,আম
34,কাঁঠাল
35,আপেল
36,কমলা
37,কলা
38,আঙ্গুর
39,পেঁপে
40,স্কুল
41,কলেজ
42,বিশ্ববিদ্যালয়
43,অফিস
44,কাজ
45,কম্পিউটার
46,মোবাইল
47,ইন্টারনেট
48,বই
49,কলম
50,বাতি
51,পাখা
52,টেলিভিশন
53,ক্রিকেট
54,ফুটবল
55,হাঁটা
56,কথা বলা
57,ঘুমানো
58,আসা
59,যাওয়া
60,দেখা
61,বিভাগ
62,ঢাকা
63,চট্টগ্রাম
64,সিলেট
65,খুলনা
66,রাজশাহী
67,রংপুর
68,ময়মনসিংহ
69,দিন
70,শনিবার
71,রবিবার
72,সোমবার
73,মঙ্গলবার
74,বুধবার
75,বৃহস্পতিবার
76,শুক্রবার
77,পেশা
78,পেশা
79,গৃহিণী
80,স্যার
81,ম্যাডাম
82,ডাক্তার
83,শ্রমিক
84,উকিল
85,পুলিশ
86,সাংবাদিক
87,প্রকৌশলী
88,বাংলা
89,ইশারা
90,ভাষা
91,আমি
92,তুমি/আপনি
93,আমার
94,আমাদের
95,হাজার
96,লাখ
97,ছেলে
98,মেয়ে
99,রোজা
100,ঈদ
101,কোরবানির ঈদ
